(12241,12241)                   3
             (621104,12241)                   1
             (621107,12241)                   1
             (621167,12241)                   1
             (119204,119204)                  3
             (119205,119204)                  1
             (119206,119204)                  1
             (119379,119204)                  1
             (119204,119205)                  1
             (119205,119205)                  3
             (119206,119205)                  1
             (119379,119205)                  1
             (119204,119206)                  1
             (119205,119206)                  1
             (119206,119206)                  3
             (119379,119206)                  1
             (119204,119379)                  1
             (119205,119379)                  1
             (119206,119379)                  1
             (119379,119379)                  3
             (129261,129261)                  3
             (129262,129261)                  1
             (129263,129261)                  1
             (129264,129261)                  1
             (129261,129262)                  1
             (129262,129262)                  3
             (129263,129262)                  1
             (129264,129262)                  1
             (129261,129263)                  1
             (129262,129263)                  1
             (129263,129263)                  3
             (129264,129263)                  1
             (129261,129264)                  1
             (129262,129264)                  1
             (129263,129264)                  1
             (129264,129264)                  3
             (140744,140744)                  3
             (140745,140744)                  1
             (140746,140744)                  1
             (140747,140744)                  1
             (140744,140745)                  1
             (140745,140745)                  3
             (140746,140745)                  1
             (140747,140745)                  1
             (140744,140746)                  1
             (140745,140746)                  1
             (140746,140746)                  3
             (140747,140746)                  1
             (140744,140747)                  1
             (140745,140747)                  1
             (140746,140747)                  1
             (140747,140747)                  3
             (148786,148786)                  3
             (148787,148786)                  1
             (150942,148786)                  1
             (150943,148786)                  1
             (148786,148787)                  1
             (148787,148787)                  3
             (150942,148787)                  1
             (150943,148787)                  1
             (148786,150942)                  1
             (148787,150942)                  1
             (150942,150942)                  3
             (150943,150942)                  1
             (148786,150943)                  1
             (148787,150943)                  1
             (150942,150943)                  1
             (150943,150943)                  3
             (204340,204340)                  3
             (204341,204340)                  1
             (206561,204340)                  1
             (206570,204340)                  1
             (204340,204341)                  1
             (204341,204341)                  3
             (206561,204341)                  1
             (206570,204341)                  1
             (204340,206561)                  1
             (204341,206561)                  1
             (206561,206561)                  3
             (206570,206561)                  1
             (204340,206570)                  1
             (204341,206570)                  1
             (206561,206570)                  1
             (206570,206570)                  3
             (215659,215659)                  3
             (215670,215659)                  1
             (216591,215659)                  1
             (216639,215659)                  1
             (215659,215670)                  1
             (215670,215670)                  3
             (216591,215670)                  1
             (216639,215670)                  1
             (215659,216591)                  1
             (215670,216591)                  1
             (216591,216591)                  3
             (216639,216591)                  1
             (215659,216639)                  1
             (215670,216639)                  1
             (216591,216639)                  1
             (216639,216639)                  3
             (237541,237541)                  3
             (237542,237541)                  1
             (237543,237541)                  1
             (237544,237541)                  1
             (237541,237542)                  1
             (237542,237542)                  3
             (237543,237542)                  1
             (237544,237542)                  1
             (237541,237543)                  1
             (237542,237543)                  1
             (237543,237543)                  3
             (237544,237543)                  1
             (237541,237544)                  1
             (237542,237544)                  1
             (237543,237544)                  1
             (237544,237544)                  3
             (275900,275900)                  3
             (277010,275900)                  1
             (278120,275900)                  1
             (335761,275900)                  1
             (275900,277010)                  1
             (277010,277010)                  3
             (278120,277010)                  1
             (335761,277010)                  1
             (275900,278120)                  1
             (277010,278120)                  1
             (278120,278120)                  3
             (335761,278120)                  1
             (284625,284625)                  3
             (284626,284625)                  1
             (284627,284625)                  1
             (292968,284625)                  1
             (284625,284626)                  1
             (284626,284626)                  3
             (284627,284626)                  1
             (292968,284626)                  1
             (284625,284627)                  1
             (284626,284627)                  1
             (284627,284627)                  3
             (292968,284627)                  1
             (284625,292968)                  1
             (284626,292968)                  1
             (284627,292968)                  1
             (292968,292968)                  3
             (328380,328380)                  3
             (328382,328380)                  1
             (328383,328380)                  1
             (328384,328380)                  1
             (328380,328382)                  1
             (328382,328382)                  3
             (328383,328382)                  1
             (328384,328382)                  1
             (328380,328383)                  1
             (328382,328383)                  1
             (328383,328383)                  3
             (328384,328383)                  1
             (328380,328384)                  1
             (328382,328384)                  1
             (328383,328384)                  1
             (328384,328384)                  3
             (275900,335761)                  1
             (277010,335761)                  1
             (278120,335761)                  1
             (335761,335761)                  3
             (383472,383472)                  3
             (383473,383472)                  1
             (383562,383472)                  1
             (880946,383472)                  1
             (383472,383473)                  1
             (383473,383473)                  3
